Address,Lat,Lon
"ZEREGA & HAVILAND AVES, New York, NY 10462",40.831302,-73.844577
"WEST & CHAMBERS STS, New York, NY 10007",40.71712,-74.012766
"2 AVE & 105 ST, New York, NY 10029",40.789961,-73.942948
"OCEAN AVE & AVENUE H, New York, NY 11230",40.630512,-73.957295
"KINGS HWY & E 15 ST, New York, NY 11229",40.608737,-73.958278
"BROADWAY & MANHATTAN AVE, New York, NY 11206",40.711476,-73.945596
"ALEXANDER AVE & BRUCKNER BLVD, New York, NY 10454",40.806833,-73.927504
"BURNSIDE & ANTHONY AVES, New York, NY 10457",40.851877,-73.902708
"NORTHERN BLVD & 102 ST, New York, NY NA",40.757575,-73.866581
"116 AVE & BEDELL ST, New York, NY 11434",40.686643,-73.784711
"SUTTER & VAN SICLEN AVES, New York, NY 11207",40.670193,-73.889676
"91 AVE & 79 ST, New York, NY 11421",40.686554,-73.861741
"129 AVE & GUY R. BREWER BLVD, New York, NY 11434",40.677295,-73.778595
"RICHMOND AVE & VICTORY BLVD, New York, NY 10314",40.607247,-74.16236
"83 AVE & 260 ST, New York, NY 11004",40.739142,-73.708984
"46 AVE & 78 ST, New York, NY 11373",40.740403,-73.887089
"CARPENTER AVE & 220 ST, New York, NY 10467",40.885194,-73.865289
"WASHINGTON AVE & 170 ST, New York, NY 10456",40.835332,-73.904639
"58 RD & 136 ST, New York, NY 11355",40.744929,-73.829413
"ROSEDALE AVE & LAFAYETTE AVE, New York, NY 10473",40.82088,-73.866696
"UNION AVE & RICHMOND TERR, New York, NY 10303",40.636822,-74.157911
"AVENUE D & 6 ST, New York, NY 10009",40.722503,-73.976913
"MAYFAIR RD & 116 ST, New York, NY 11418",40.706034,-73.836205
"13 AVE & 40 ST, New York, NY 11218",40.640064,-73.986871
"ALEXANDER AVE & 137 ST, New York, NY 10454",40.809383,-73.925614
"WOODSIDE AVE & NORTHERN BLVD, New York, NY 11101",40.752963,-73.91026
"IND B&C ? W 103  ST & CENTRAL PK W, New York, NY 10025",40.796123,-73.96145
"NICHOLS AVE & FULTON ST, New York, NY 11208",40.684646,-73.86869
"CENTRAL AVE & NEILSON ST, New York, NY 11691",40.607143,-73.749443
